Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Flavobacterium davisii,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium davisii
Brevundimonas olei,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas olei
Microbacterium plantarum,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium plantarum
Arsenicicoccus cauae,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Arsenicicoccus,Arsenicicoccus cauae
Pelagerythrobacter marinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Pelagerythrobacter,Pelagerythrobacter marinus
Candidatus Methylocalor cossyra,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Candidatus,Candidatus Methylocalor cossyra
Candidatus Nitrotoga arctica,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Candidatus,Candidatus Nitrotoga arctica
Candidatus Regiella endosymbiont of Tuberolachnus salignus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus,Candidatus Regiella endosymbiont of Tuberolachnus salignus
Mediterraneibacter glycyrrhizinilyticus,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter glycyrrhizinilyticus
Candidatus Sulfidibacterium hydrothermale,Bacteria,Bacteroidota,Bacteroidota_c,Candidatus,Candidatus_f,Candidatus,Candidatus Sulfidibacterium hydrothermale
Clostridium taeniosporum,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium taeniosporum
Brachybacterium huguangmaarense,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium huguangmaarense
Rathayibacter tanaceti,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter tanaceti
Paracoccus sanguinis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus sanguinis
Limimaricola variabilis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Limimaricola,Limimaricola variabilis
Levilactobacillus cerevisiae,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus cerevisiae
Photobacterium piscicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium piscicola
Deinococcus aquaticus,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus aquaticus
Candidatus Fukatsuia endosymbiont of Tuberolachnus salignus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Candidatus,Candidatus Fukatsuia endosymbiont of Tuberolachnus salignus
Acinetobacter thermotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter thermotolerans
Clavibacter capsici,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter capsici
Legionella israelensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella israelensis
Lactiplantibacillus xiangfangensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus xiangfangensis
Levilactobacillus koreensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus koreensis
Methylophaga pinxianii,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,Methylophaga pinxianii
Vibrio taketomensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio taketomensis
Tannerella serpentiformis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella serpentiformis
Burkholderia metallica,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia metallica
Mesotoga infera,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga infera
Porphyromonas pogonae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas pogonae
Pectinatus frisingensis,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Pectinatus,Pectinatus frisingensis
Listeria swaminathanii,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria swaminathanii
Gallibacterium salpingitidis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium salpingitidis
Blastomonas marina,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Blastomonas marina
Corynebacterium belfantii,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium belfantii
Capnocytophaga stomatis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga stomatis
Candidatus Kaistella beijingensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Kaistella,Candidatus Kaistella beijingensis
Malaciobacter halophilus,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter,Malaciobacter halophilus
Sphingomonas sediminicola,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sediminicola
Corynebacterium hesseae,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium hesseae
Sulfuricystis thermophila,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuricystis,Sulfuricystis thermophila
Mycetohabitans endofungorum,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Mycetohabitans,Mycetohabitans endofungorum
Cloacibacterium caeni,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium caeni
Bartonella machadoae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella machadoae
Paraburkholderia largidicola,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia largidicola
Chryseomicrobium aureum,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Chryseomicrobium,Chryseomicrobium aureum
Acidianus manzaensis,Bacteria,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus manzaensis
Chloracidobacterium sp.,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Chloracidobacterium,Chloracidobacterium sp.
Turicibacter bilis,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,Turicibacter bilis
Massilimicrobiota timonensis,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Massilimicrobiota,Massilimicrobiota timonensis
Chloracidobacterium validum,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Chloracidobacterium,Chloracidobacterium validum
Rickettsia endosymbiont of Oedothorax gibbosus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Oedothorax gibbosus
Neisseria brasiliensis,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria brasiliensis
Micrococcus antarcticus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus antarcticus
Brevefilum fermentans,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum,Brevefilum fermentans
Sulfuricystis multivorans,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuricystis,Sulfuricystis multivorans
Macrococcus epidermidis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus epidermidis
Rothia terrae,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia terrae
Corynebacterium kefirresidentii,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kefirresidentii
Candidatus Paracaedibacter acanthamoebae,Bacteria,Pseudomonadota,Alphaproteobacteria,Holosporales,Candidatus,Candidatus,Candidatus Paracaedibacter acanthamoebae
Aquirufa antheringensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Flectobacillaceae,Aquirufa,Aquirufa antheringensis
Ketogulonicigenium robustum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ketogulonicigenium,Ketogulonicigenium robustum
Methanobacterium congolense,Bacteria,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium congolense
Spiroplasma endosymbiont of Colias croceus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Colias croceus
Candidatus Tisiphia endosymbiont of Parasteatoda lunata,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Parasteatoda lunata
Rothia amarae,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia amarae
Arsenophonus endosymbiont of Aphis craccivora,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus endosymbiont of Aphis craccivora
Spiroplasma endosymbiont of Zeiraphera isertana,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Zeiraphera isertana
Candidatus Syntrophocurvum alkaliphilum,Bacteria,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Candidatus,Candidatus Syntrophocurvum alkaliphilum
Actinomyces gaoshouyii,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gaoshouyii
Staphylococcus rostri,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus rostri
Duodenibacillus massiliensis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus,Duodenibacillus massiliensis
Actinotignum timonense,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum timonense
Leptotrichia hongkongensis,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia hongkongensis
Paracoccus kondratievae,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus kondratievae
Pediococcus siamensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus siamensis
Streptococcus hillyeri,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hillyeri
Lactobacillus panisapium,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus panisapium
Moraxella canis,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella canis
Candidatus Kirkpatrickella diaphorinae,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Candidatus,Candidatus Kirkpatrickella diaphorinae
Rickettsia endosymbiont of Polydrusus tereticollis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Polydrusus tereticollis
Moraxella lincolnii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella lincolnii
Macrococcus equipercicus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus equipercicus
Spiroplasma endosymbiont of Seladonia tumulorum,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Seladonia tumulorum
Macrococcus brunensis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus brunensis
Spiroplasma endosymbiont of Amphimallon solstitiale,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Amphimallon solstitiale
Bartonella heixiaziensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella heixiaziensis
Candidatus Tisiphia endosymbiont of Ditula angustiorana,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Ditula angustiorana
Helicobacter mastomyrinus,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter mastomyrinus
Macrococcus bovicus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus bovicus
Defluviitoga tunisiensis,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,Defluviitoga tunisiensis
Spiroplasma endosymbiont of Clivina fossor,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Clivina fossor
Candidatus Hamiltonella endosymbiont of Tuberolachnus salignus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus,Candidatus Hamiltonella endosymbiont of Tuberolachnus salignus
Helicobacter apodemus,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter apodemus
Candidatus Arcticimaribacter forsetii,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Candidatus,Candidatus Arcticimaribacter forsetii
Lactobacillus kullabergensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kullabergensis
Candidatus Francisella endociliophora,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Candidatus Francisella endociliophora
Commensalibacter melissae,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,Commensalibacter melissae
Aristophania vespae,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Aristophania,Aristophania vespae
Candidatus Thiodubiliella endoseptemdiera,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_o,Candidatus,Candidatus,Candidatus Thiodubiliella endoseptemdiera
Spiroplasma endosymbiont of Apeira syringaria,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Apeira syringaria
Spiroplasma endosymbiont of Sarcophaga carnaria,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Sarcophaga carnaria
Rickettsia endosymbiont of Gonocerus acuteangulatus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Gonocerus acuteangulatus
Fusobacterium watanabei,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium watanabei
Aerococcus tenax,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus tenax
Polynucleobacter yangtzensis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter yangtzensis
Spiroplasma endosymbiont of Villa modesta,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Villa modesta
Bartonella gliris,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella gliris
Limosilactobacillus portuensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus portuensis
Lactobacillus taiwanensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus taiwanensis
Anaerococcus obesiensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus obesiensis
Anaerococcus nagyae,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus nagyae
Rickettsiella endosymbiont of Dermanyssus gallinae,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella endosymbiont of Dermanyssus gallinae
Candidatus Rhabdochlamydia oedothoracis,Bacteria,Chlamydiota,Chlamydiia,Parachlamydiales,Candidatus,Candidatus,Candidatus Rhabdochlamydia oedothoracis
Candidatus Tisiphia endosymbiont of Thecophora atra,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Thecophora atra
Lactobacillus helsingborgensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helsingborgensis
Candidatus Tisiphia endosymbiont of Temnostethus pusillus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Temnostethus pusillus
Bombilactobacillus bombi,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
Rickettsia endosymbiont of Ceutorhynchus obstrictus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Ceutorhynchus obstrictus
Candidatus Nucleicultrix,Bacteria,Pseudomonadota,Alphaproteobacteria,Holosporales,Candidatus,Candidatus_g,Candidatus Nucleicultrix
Actinobacillus delphinicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus delphinicola
Candidatus Pseudomonas adelgestsugas,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Candidatus Pseudomonas adelgestsugas
Candidatus Nitrosacidococcus tergens,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus,Candidatus Nitrosacidococcus tergens
Latilactobacillus graminis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus graminis
Wolbachia endosymbiont of Folsomia candida,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Folsomia candida
Wolbachia endosymbiont of Phyllotreta cruciferae,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Phyllotreta cruciferae
Helcococcus ovis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,Helcococcus ovis
Rickettsiella endosymbiont of Xylota segnis,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella endosymbiont of Xylota segnis
Spiroplasma endosymbiont of Dasysyrphus albostriatus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Dasysyrphus albostriatus
Candidatus Methylopumilus turicensis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Candidatus,Candidatus Methylopumilus turicensis
Rickettsia endosymbiont of Pantilius tunicatus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Pantilius tunicatus
Rickettsia endosymbiont of Rhinocyllus conicus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Rhinocyllus conicus
Campylobacter pinnipediorum subsp. pinnipediorum,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter pinnipediorum,Campylobacter pinnipediorum subsp. pinnipediorum
Rhabdochlamydiaceae symbiont of Dictyostelium giganteum,Bacteria,Chlamydiota,Chlamydiia,Parachlamydiales,Candidatus,Candidatus_g,Rhabdochlamydiaceae symbiont of Dictyostelium giganteum
Helicobacter felistomachi,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter felistomachi
Candidatus Coxiella mudrowiae,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Candidatus Coxiella mudrowiae
Spiroplasma endosymbiont of Ammophila pubescens,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Ammophila pubescens
Wolbachia endosymbiont of Oryzaephilus surinamensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Oryzaephilus surinamensis
Candidatus Megaera polyxenophila,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Megaera polyxenophila
Candidatus Tisiphia endosymbiont of Oplodontha viridula,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Oplodontha viridula
Spiroplasma endosymbiont of Tiphia femorata,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Tiphia femorata
Lactobacillus mulieris,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus mulieris
Wolbachia endosymbiont of Armadillidium arcangelii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Armadillidium arcangelii
Polynucleobacter paneuropaeus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter paneuropaeus
Candidatus Trichorickettsia mobilis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Trichorickettsia mobilis
Rickettsiella endosymbiont of Rhagonycha lignosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella endosymbiont of Rhagonycha lignosa
Candidatus Tisiphia endosymbiont of Nedyus quadrimaculatus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Nedyus quadrimaculatus
Spiroplasma endosymbiont of Andrena trimmerana,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Andrena trimmerana
Wolbachia endosymbiont of Tetranychus urticae,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Tetranychus urticae
Candidatus Tisiphia endosymbiont of Metellina segmentata,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Metellina segmentata
Rickettsia endosymbiont of Aspidapion aeneum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Aspidapion aeneum
Rickettsiella endosymbiont of Miltochrista miniata,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella endosymbiont of Miltochrista miniata
Rickettsiella endosymbiont of Aleochara curtula,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella endosymbiont of Aleochara curtula
Sodalis endosymbiont of Henestaris halophilus,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis,Sodalis endosymbiont of Henestaris halophilus
Candidatus Nitrosocaldus islandicus,Bacteria,Nitrososphaerota,Nitrososphaeria,Candidatus,Candidatus,Candidatus,Candidatus Nitrosocaldus islandicus
Fenollaria massiliensis,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales_f,Fenollaria,Fenollaria massiliensis
Candidatus Tisiphia endosymbiont of Beris chalybata,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Beris chalybata
Candidatus Lariskella endosymbiont of Epinotia ramella,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus,Candidatus,Candidatus Lariskella endosymbiont of Epinotia ramella
Wolbachia endosymbiont of Delia radicum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Delia radicum
Candidatus Lariskella endosymbiont of Hedychridium roseum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus,Candidatus,Candidatus Lariskella endosymbiont of Hedychridium roseum
Candidatus Tisiphia endosymbiont of Melanophora roralis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Melanophora roralis
Spiroplasma endosymbiont of Nomada ruficornis,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Nomada ruficornis
Candidatus Rickettsiella viridis,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Candidatus Rickettsiella viridis
Candidatus Nitrosocaldus cavascurensis,Bacteria,Nitrososphaerota,Nitrososphaeria,Candidatus,Candidatus,Candidatus,Candidatus Nitrosocaldus cavascurensis
Wolbachia endosymbiont of Listronotus oregonensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Listronotus oregonensis
Wolbachia endosymbiont of Oedothorax gibbosus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Oedothorax gibbosus
Candidatus Tisiphia endosymbiont of Psammoecus bipunctatus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Psammoecus bipunctatus
Abyssogena phaseoliformis,Bacteria,Mollusca,Bivalvia,Venerida,Vesicomyidae,Abyssogena,Abyssogena phaseoliformis
